//Auto-generated instance
//   Expected number of trucks: 2
//   Expected routes: ([0 2 6 8 10 7 4 0] [0 9 11 5 1 3 0])
nP = 11 ;
workTime = 720 ;
task = [12 18 15 8 13 5 11 2 14 14 3 3] ;
task_window = [[154 223]
			[98 157]
			[231 295]
			[258 324]
			[171 219]
			[182 244]
			[207 258]
			[181 255]
			[77 131]
			[220 293]
			[130 194]
			] ;

dist =[
 [0 9 11 25 10 105 26 42 28 34 62 43]
 [9 0 13 27 18 104 27 39 19 36 60 39]
 [11 13 0 14 20 93 15 31 30 23 51 52]
 [25 27 14 0 31 81 3 26 41 9 40 67]
 [10 18 20 31 0 113 34 52 36 41 71 44]
 [105 104 93 81 113 0 79 66 107 71 44 140]
 [26 27 15 3 34 79 0 22 40 8 37 67]
 [42 39 31 26 52 66 22 0 41 22 22 73]
 [28 19 30 41 36 107 40 41 0 48 63 33]
 [34 36 23 9 41 71 8 22 48 0 32 75]
 [62 60 51 40 71 44 37 22 63 32 0 95]
 [43 39 52 67 44 140 67 73 33 75 95 0]]
;
