/*********************************************
 * OPL 12.6.0.0 Data
 * Author: Eloy Gil Guerrero
 * Email: eloy.gil@est.fib.upc.edu
 * Creation Date: 14/01/2017 at 23:01:23
 *********************************************/

nP = 17;        // number of destination points
workTime = 720; // maximum time to finish (12h in minutes) 

// time (minutes) spent in a task in each point 
task = [ 1 9 7 18 10 7 13 2 13 3 18 2 19 15 18 14 18 0 ];

              //  min  max
task_window = [[   96  137 ] // 1 
               [   78  125 ] // 2 
               [   82  129 ] // 3 
               [  185  263 ] // 4 
               [   73  143 ] // 5 
               [   85  132 ] // 6 
               [   84  167 ] // 7 
               [  263  308 ] // 8 
               [  218  271 ] // 9 
               [  127  167 ] // 10 
               [   81  139 ] // 11 
               [   92  139 ] // 12 
               [  168  237 ] // 13 
               [   79  154 ] // 14 
               [  131  209 ] // 15 
               [   87  181 ] // 16 
               [  133  221 ] // 17 
]; 

       //     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17     S 
dist = [[     0    44    26    59    40     3     9    17    93    51    54    70   104    19    67    90    69    78  ] // 1
        [    44     0   117    74    61     5    26    76    92    12    38     6    33    16    80    71    70    18  ] // 2
        [    26   117     0    27    56   100    78    10    27    25    89    11    28    44    60   120    81    18  ] // 3
        [    59    74    27     0     0    17     4    41    89    60    16    52    79     1    37     0    76    66  ] // 4
        [    40    61    56     0     0    32   110    67    22    53    77    91    96     9   102    94   116    71  ] // 5
        [     3     5   100    17    32     0    38    87   112    90    43    85     4    63    73   114    48   119  ] // 6
        [     9    26    78     4   110    38     0    39    69    92     4    33     3    63    44    14    42    63  ] // 7
        [    17    76    10    41    67    87    39     0    27    84   109   104    82    40    98   111    63    19  ] // 8
        [    93    92    27    89    22   112    69    27     0    89    36   103    76    27    57   108     5    82  ] // 9
        [    51    12    25    60    53    90    92    84    89     0   113    17    35    46    93    61    26    78  ] // 10
        [    54    38    89    16    77    43     4   109    36   113     0     5    34     0   102    10    11    37  ] // 11
        [    70     6    11    52    91    85    33   104   103    17     5     0    62    38     2     3   117   120  ] // 12
        [   104    33    28    79    96     4     3    82    76    35    34    62     0    71    59    94    74   113  ] // 13
        [    19    16    44     1     9    63    63    40    27    46     0    38    71     0     7    26     4    89  ] // 14
        [    67    80    60    37   102    73    44    98    57    93   102     2    59     7     0    18   106    58  ] // 15
        [    90    71   120     0    94   114    14   111   108    61    10     3    94    26    18     0    18   116  ] // 16
        [    69    70    81    76   116    48    42    63     5    26    11   117    74     4   106    18     0    83  ] // 17
        [    78    18    18    66    71   119    63    19    82    78    37   120   113    89    58   116    83     0  ] // S
];
